category,algorithm,language,time_s,energy_j,power_w,std_time_s,std_energy_j,std_power_w,n_runs,sem_time_s,sem_energy_j,sem_power_w,cv_time_pct,cv_energy_pct,platform,edp,aei,n_energy,n_time,n_edp,ges,rank_in_category,rank_in_algorithm,rank_in_cat_algo
floating_point,gaussian_elimination,c,0.0062658345,0.4790187999999999,76.6923446,0.0003151168719564,0.0983860190991473,16.8251839135467,10,9.964870445299886e-05,0.0311123910270133,5.32059032180331,5.029128553530094,20.539072599895317,amd,0.0030014525231885996,333.1720199717328,0.020422239789143076,0.0009395674259090778,0.00013770412418784303,0.010680903607526077,3.0,1.0,1.0
floating_point,gaussian_elimination,cpp,0.0064660236,0.5341994,82.8938483,0.0005335947495623,0.0894157276411705,14.55435472346969,10,0.0001687374756124,0.0282757357987374,4.6024910800194325,8.252285833944883,16.7382680776449,amd,0.00345414592750584,289.50716645665204,0.028161792940142778,0.0011286093507479166,0.0001957584896991158,0.014645201145445347,7.0,3.0,3.0
floating_point,gaussian_elimination,go,0.0077113141,0.5589434,72.67584339999999,0.0009580621320457,0.092901544328989,10.105729144397236,10,0.0003029658477221,0.0293780478226704,3.195712151303989,12.424109816065954,16.620921604761595,amd,0.00431018812152194,232.00843485385903,0.0316323514909439,0.002304558056763982,0.00030553916233656305,0.01696845477385394,8.0,4.0,4.0
floating_point,gaussian_elimination,java,0.0478578113,0.8833496999999999,17.5629409,0.0094789718386699,0.4390914037122693,6.044544389916331,10,0.0029975140886791,0.1388528936731284,1.911452769012852,19.806530180100356,49.70753980131191,amd,0.0422751832545116,23.65453968536683,0.0771331217139779,0.04021556872730035,0.005174250928544938,0.05867434522063913,13.0,5.0,5.0
floating_point,gaussian_elimination,rust,0.0067479777,0.51946,76.5703483,0.0004822024079045,0.1347271923522164,18.124159618460084,10,0.0001524857902195,0.0426044790592622,5.7313625070782175,7.145880282095515,25.936009000157163,amd,0.0035053044960420003,285.28192090848194,0.026094465478791424,0.0013948633365053963,0.00020231917339476433,0.01374466440764841,5.0,2.0,2.0
floating_point,matrix_multiplication,c,0.0310081227,1.0149669,32.271104300000005,0.0042978029101104,0.2268878260102457,5.056964654797735,10,0.0013590846130449,0.071748230355637,1.5991526356127976,13.86024865707363,22.35420938458641,amd,0.03147221817163863,31.77405528095747,0.0955935646048808,0.024304125167790635,0.003788855697367412,0.05994884488633572,14.0,4.0,4.0
floating_point,matrix_multiplication,cpp,0.0066471067999999,0.5219197,78.7537933,0.0005904448794969,0.0995245075011398,14.871130684306234,10,0.0001867150651994,0.0314724126710114,4.70266443444261,8.882734959169884,19.068931006271622,amd,0.0034692559869239077,288.2462417789677,0.026439459532598623,0.001299609253759408,0.00019769623587343122,0.013869534393179016,6.0,3.0,3.0
floating_point,matrix_multiplication,go,0.0063969971,0.4337392,67.1479406,0.0005025513544463,0.1070580416065146,13.079785553728922,10,0.0001589206921253,0.0338547253313658,4.136191365635006,7.856050996902384,24.682583821456447,amd,0.00277462840455632,360.4086220547093,0.014071386937669824,0.001063426469038133,0.00010861571652767173,0.007567406703353978,1.0,1.0,1.0
floating_point,matrix_multiplication,java,0.0546201319,0.954592,17.0113317,0.0086804705809218,0.3611292948928096,4.710750708991792,10,0.0027450058197798,0.114199110167189,1.48967017296671,15.89243796923511,37.83074809895846,amd,0.0521399409506848,19.179154823858045,0.08712546625987748,0.046601341492157854,0.006439328447925905,0.06686340387601766,15.0,5.0,5.0
floating_point,matrix_multiplication,rust,0.0061401716,0.4925495,80.0535433,0.0009975585758138,0.148980899236744,19.85803766181625,10,0.0003154557199005,0.0471118969448152,6.279662887274385,16.24642828897295,30.24688873641006,amd,0.0030243384514941998,330.6508236556466,0.022320036692769208,0.0008209018417347615,0.00014063906433551748,0.011570469267251984,4.0,2.0,2.0
floating_point,monte_carlo_pi,c,1.0642375464,7.3288875,6.8800606,0.0069579721561261,1.3783265622315142,1.2385378661917985,10,0.0022003039909391,0.4358651296161398,0.3916600625530937,0.653798785775125,18.80676381280944,amd,7.799677250841631,0.12821043330890314,0.9811751652922938,1.0,1.0,0.9905875826461469,25.0,5.0,5.0
floating_point,monte_carlo_pi,cpp,1.0608608684,6.801769299999999,6.4114237,0.0013984447294472,0.6751779784526033,0.6349688294496649,10,0.0004422270526911,0.2135100237898314,0.2007947744271941,0.1318216903934277,9.926505129372783,amd,7.21573088625446,0.1385860996984991,0.9072423098003402,0.9968113463286415,0.9251134755544935,0.9520268280644908,24.0,4.0,4.0
floating_point,monte_carlo_pi,go,0.1328342769,1.1775377,8.8478167,0.0013714520475005,0.3276953953628447,2.357383092548178,10,0.0004336912171803,0.1036263828095968,0.745469989002375,1.032453429571491,27.828866571562397,amd,0.15641736890198912,6.393151905186428,0.11839551578700898,0.12046027047692315,0.019812087713086422,0.11942789313196606,18.0,2.0,2.0
floating_point,monte_carlo_pi,java,0.7451384309,7.041326,9.4479345,0.002601429487531,0.6654368957931989,0.8694418779644092,10,0.0008226442352922,0.2104296229818626,0.2749416627501693,0.3491202949214382,9.450448619950262,amd,5.2467626070953735,0.19059371938186537,0.9408421947658551,0.6986693530842034,0.6726087934268549,0.8197557739250292,23.0,3.0,3.0
floating_point,monte_carlo_pi,rust,0.007711686,0.6434922000000001,86.4301689,0.0021776992702484,0.0777593227419637,14.02857181002386,10,0.0006886489752871,0.0245896569176735,4.436223923890633,28.238951511360906,12.083957310121828,amd,0.0049624097898492,201.5149982263735,0.04349104696459303,0.0023049092481717435,0.00038918145702506303,0.022897978106382385,11.0,1.0,1.0
floating_point,newton_raphson,c,0.4747539125,2.5460763,5.3617844,0.000766429623832,0.5859734493067544,1.2271329685771355,10,0.0002423663277535,0.1853010748194557,0.3880535172587581,0.161437242253814,23.014763905808888,amd,1.2087596849485238,0.8272943021280412,0.3103448101747957,0.4433407172845592,0.15476670573074103,0.37684276372967745,21.0,4.0,4.0
floating_point,newton_raphson,cpp,0.0056927871,0.4660263999999999,80.82989979999999,0.0004311936607731,0.1537351407462414,24.749954483614964,10,0.0001363554080669,0.048615320116468,7.826622815371981,7.574385853516195,32.98850467403595,amd,0.002652989078179439,376.93332710070183,0.018599944084510496,0.00039842915454519067,9.301643046190937e-05,0.009499186619527844,2.0,1.0,1.0
floating_point,newton_raphson,go,0.0600159928,0.6092261,9.7686784,0.0074117022193266,0.3586050822064883,3.892577209525792,10,0.0023437860351997,0.1134008840284423,1.230940995016398,12.349545302075962,58.862396441401366,amd,0.03656330923117208,27.349822021783773,0.03868493209401404,0.051696743443106395,0.004441748048796954,0.04519083776856021,12.0,3.0,3.0
floating_point,newton_raphson,java,0.5205919062000001,2.7327523,5.2479149,0.0011054287006539,0.5545129890353335,1.0552497497802171,10,0.0003495672484986,0.1753524037499628,0.3336992709628253,0.2123407389720885,20.29137397616804,amd,1.4226487290294345,0.7029142047469612,0.33652772272043713,0.48662630356172715,0.18219629190431855,0.41157701314108214,22.0,5.0,5.0
floating_point,newton_raphson,rust,0.0063651092,0.5728205,90.5801716,0.0006383844596578,0.0529562308184787,9.944580832230873,10,0.0002018748915374,0.0167462305683995,3.144752580550235,10.029434524985556,9.244821164479758,amd,0.0036460650344985997,274.26828390007535,0.03357873397014379,0.001033314190222411,0.00022037060438799425,0.0173060240801831,9.0,2.0,2.0
floating_point,numerical_integration,c,0.1314027532,1.0537814,8.0188062,0.0003404148144112,0.1107046584859412,0.835726699174078,10,0.0001076486162802,0.0350078868406661,0.2642799870804446,0.2590621627943208,10.505467119266031,amd,0.1384697772309505,7.221792509510024,0.10103763164618661,0.11910845863651617,0.017510450364318295,0.11007304514135138,17.0,3.0,3.0
floating_point,numerical_integration,cpp,0.1320348318,1.5449032,11.618352,0.0041996100075723,0.5139239531785051,3.3816386479634395,10,0.0013280332908365,0.1625170236161807,1.0693680351216786,3.1806834229422765,33.265770514198245,amd,0.20398103415928176,4.902416561037407,0.16992168282929515,0.11970534106015182,0.025911753362218858,0.14481351194472347,19.0,4.0,4.0
floating_point,numerical_integration,go,0.0819326948,0.7782695000000001,9.4984869,0.0006196563187756,0.1287913831643596,1.5687996176297374,10,0.0001959525333846,0.040727411380284,0.4960979984111214,0.7562992042288736,16.548429967300475,amd,0.0637657174156486,15.682408048224865,0.06239472102573464,0.07239305274365891,0.007930242761703676,0.06739388688469677,16.0,2.0,2.0
floating_point,numerical_integration,java,0.1819871578,1.3483188,7.409048200000001,0.0009802418017806,0.0566107967927595,0.3137486121232871,10,0.0003099796751334,0.0179019058022075,0.0992160227026304,0.538632403313821,4.198621037751571,amd,0.2453767062203066,4.075366465723808,0.1423490320705614,0.1668761603366119,0.031220422438235248,0.15461259620358664,20.0,5.0,5.0
floating_point,numerical_integration,rust,0.0068437955999999,0.574839,86.3288213,0.0012717630247819,0.1217532835642089,24.310721837221283,10,0.0004021667802296,0.0385017688667243,7.687725256841244,18.58271490139087,21.180414614215277,amd,0.0039340806189083425,254.18899531283304,0.033861845934045835,0.0014853457865988155,0.00025730633583626717,0.017673595860322324,10.0,1.0,1.0
integer_and_control_flow_intensive,josephus_problem,c,0.0063449718,0.4343601,67.5991941,0.0008369517524427,0.1220366997909963,13.095926093090789,10,0.0002646673829388,0.0385913929469743,4.141295452339715,13.190787584631908,28.09574355264132,amd,0.00275600258554518,362.844362064408,0.014158473496196842,0.0010142981056441313,0.00010622710186152612,0.007586385800920486,7.0,2.0,2.0
integer_and_control_flow_intensive,josephus_problem,cpp,0.0062940677,0.4688888999999999,75.3628508,0.0011313582097358,0.0619481710203511,8.447636440311294,10,0.0003577668792295,0.0195897317305946,2.6713771996420737,17.974992702030146,13.211694928233769,amd,0.0029512184803785293,338.843093674223,0.019001434298367117,0.0009662285102156655,0.00013126200363871958,0.00998383140429139,10.0,3.0,3.0
integer_and_control_flow_intensive,josephus_problem,go,0.0064363898,0.5249698,81.02651230000001,0.0003575728520225,0.1056978788106302,13.36701072026568,10,0.0001130744641833,0.033424604089004,4.227019938392739,5.555487829878001,20.134087486676417,amd,0.0033789102660280405,295.9534054674719,0.02686726225793805,0.0011006256563695059,0.00018611010836804231,0.013983943957153777,12.0,4.0,4.0
integer_and_control_flow_intensive,josephus_problem,java,0.0443712633,0.8763875000000001,18.8115285,0.0075135034706084,0.4174780562518625,6.855445703765069,10,0.0023759784174702,0.1320181530895783,2.167882279951357,16.93326471191206,47.63624039045085,amd,0.03888642051532875,25.71591796693674,0.07615661335872465,0.03692316297212684,0.004739668783509672,0.05653988816542574,19.0,5.0,5.0
integer_and_control_flow_intensive,josephus_problem,rust,0.0059791537999999,0.3535248,59.2712417,0.0007806033075676,0.1057713579680246,17.05009588016656,10,0.0002468484400974,0.0334478402387956,5.391713730557963,13.055414422817185,29.919077238152624,amd,0.0021137791513142043,473.08632000569594,0.00282062829648887,0.0006688500324937278,2.386700198999814e-05,0.0017447391644912988,1.0,1.0,1.0
integer_and_control_flow_intensive,knights_tour,c,0.0056477809999999,0.3844376,68.50990529999999,0.0008512885218864,0.0901702965162154,14.797060266445952,10,0.0002692010675119,0.0285143514283986,4.67924131167472,15.072973294935023,23.45511898841723,amd,0.0021712193729655615,460.57068781315695,0.007156414037242384,0.0003559291394419303,3.123325824863702e-05,0.003756171588342157,2.0,1.0,1.0
integer_and_control_flow_intensive,knights_tour,cpp,0.0059922982,0.4360981,72.5758755,0.0009534798520299,0.0979071842596627,13.104975774921687,10,0.0003015168035494,0.030960970155432,4.144157213008265,15.911755727209234,22.450724793266183,amd,0.00261322985965342,382.66821278883793,0.014402242925605678,0.0006812625098807115,8.79176236696316e-05,0.007541752717743194,6.0,4.0,4.0
integer_and_control_flow_intensive,knights_tour,go,0.0061975674,0.4279654,68.5605177,0.0005356261790335,0.0973745219976286,13.641729597931723,10,0.0001693798700159,0.0307925275582675,4.313893675359726,8.64252285555646,22.752895911124742,amd,0.00265234441136796,377.0249428068223,0.013261561890764897,0.0008751016583564712,9.293375701813999e-05,0.0070683317745606844,5.0,3.0,3.0
integer_and_control_flow_intensive,knights_tour,java,0.0440812321,0.7841164,16.5976303,0.009338686818178,0.4377110671535631,6.488225482897788,10,0.0029531520700433,0.1384163929268174,2.051757049870287,21.18517648733784,55.82220537072852,amd,0.03456481702181644,28.93115272008601,0.0632147989755681,0.036649281645364705,0.00418545715503333,0.0499320403104664,18.0,5.0,5.0
integer_and_control_flow_intensive,knights_tour,rust,0.0058847870999999,0.3877759,66.64834590000001,0.0008261520052011,0.1259156881686666,23.16557476524792,10,0.000261252202995,0.0398180367760502,7.325597956510383,14.03877474515855,32.47125160915534,amd,0.0022819786140108513,438.21620144037195,0.007624639288217952,0.0005797379749007354,4.543725901841262e-05,0.0041021886315593436,3.0,2.0,2.0
integer_and_control_flow_intensive,producer_consumer_single_thread,c,0.0088258436999999,0.6367317,71.9744349,0.0007655021632298,0.0964560325295646,8.538911671628412,10,0.0002420730389592,0.0305020756856716,2.700240962134156,8.673416267612378,15.148614797969795,amd,0.005619694463035226,177.94561725334347,0.04254282876694143,0.0033570270516984847,0.00047347304223083805,0.022949927909319958,15.0,3.0,3.0
integer_and_control_flow_intensive,producer_consumer_single_thread,cpp,0.0082489023999999,0.5807349,70.41272649999999,0.0009518115552533,0.0725264939980938,3.753957523129933,10,0.0003009892417867,0.0229348911740508,1.187105601261481,11.538644889935428,12.48874383097931,amd,0.004790425510373703,208.7497233459726,0.034688796554788986,0.002812211705253438,0.0003671258270387545,0.018750504130021214,13.0,1.0,1.0
integer_and_control_flow_intensive,producer_consumer_single_thread,go,0.0089147827,0.6450411,72.5710429,0.0004677235369826,0.0407477897926855,6.46741067467068,10,0.0001479071692135,0.0128855825362646,2.0451748295645595,5.246606145348404,6.317084259078309,amd,0.005750401239068971,173.90090854980178,0.04370829349463408,0.0034410136411444662,0.000490235157336331,0.02357465356788927,16.0,4.0,4.0
integer_and_control_flow_intensive,producer_consumer_single_thread,java,0.0551269752,0.9717103,16.6791911,0.0110512677169897,0.5005809121726144,5.639005330922968,10,0.0034947177017976,0.1582975835670168,1.78321005835481,20.04693287976683,51.51544778033272,amd,0.053567449609684556,18.668053216765582,0.08952645488096457,0.04707996212147118,0.006622395196126201,0.06830320850121788,20.0,5.0,5.0
integer_and_control_flow_intensive,producer_consumer_single_thread,rust,0.0075203807,0.596252,79.6129251,0.0007300365735982,0.0736944057714016,10.105787481612891,10,0.0002308578347795,0.0233042173050287,3.195730599151372,9.70744172031455,12.359607308889805,amd,0.0044840420331364,223.01307450067364,0.03686520312157835,0.0021242564446780888,0.0003278345579269909,0.01949472978312822,14.0,2.0,2.0
integer_and_control_flow_intensive,sudoku_solver,c,0.0062395136999999,0.4471418,71.969555,0.0008107147129486,0.0677625999989833,9.741016822853464,10,0.0002563705025527,0.021428415617171,3.080379988623388,12.993235561749126,15.154610908437409,amd,0.002789947386942615,358.429698237377,0.015951216715917767,0.0009147122529984798,0.00011058025542802532,0.008432964484458124,9.0,3.0,3.0
integer_and_control_flow_intensive,sudoku_solver,cpp,0.0064841639,0.4366946,68.33669019999999,0.0006536815395619,0.0964615939258268,17.726394277037855,10,0.0002067122529421,0.0305038343535876,5.605578061761341,10.081200130705584,22.089028333720368,amd,0.00283159936064494,353.1573053372334,0.014485907174536848,0.001145739540299466,0.0001159217931719376,0.007815823357418157,8.0,2.0,2.0
integer_and_control_flow_intensive,sudoku_solver,go,0.0067182014,0.4188047,63.219417,0.0006802606118841,0.0986128025405423,16.92952503028807,10,0.0002151172936053,0.0311841062480552,5.353585880054136,10.125635886475544,23.54625020696816,amd,0.0028136143218665797,355.41473905229134,0.011976695025410714,0.0013667450769868773,0.00011361535352643827,0.006671720051198796,4.0,1.0,1.0
integer_and_control_flow_intensive,sudoku_solver,java,0.0516609024999999,0.7250159,13.5804547,0.0094170436038395,0.3685306205268129,5.459938001186603,10,0.0029779306613253,0.116539614837993,1.7265839967056789,18.22856966898628,50.83069495811235,amd,0.03745497572084968,26.69872241949793,0.054925446177652576,0.04380689153551335,0.004556097256919326,0.04936616885658296,17.0,5.0,5.0
integer_and_control_flow_intensive,sudoku_solver,rust,0.0064082975,0.4712477,73.5939278,0.0004886470248249,0.0925443793191497,14.105464609472156,10,0.0001545237570311,0.0292651023295095,4.460539562082949,7.625223779404007,19.63816042373252,amd,0.00301989545779075,331.13729067017607,0.019332276260443985,0.0010740976262961894,0.0001400692853681977,0.010203186943370086,11.0,4.0,4.0
integer_and_control_flow_intensive,towers_of_hanoi,c,0.0796693397999999,0.8400734999999999,10.5398321,0.0019420071840528,0.091604487127178,1.0794270036090083,10,0.0006141165934016,0.0289678823213457,0.3413447899295259,2.437584130768584,10.904341956647611,amd,0.06692810112847522,14.941407019458081,0.07106326292169778,0.07025572865461696,0.008335793578659418,0.07065949578815736,21.0,1.0,1.0
integer_and_control_flow_intensive,towers_of_hanoi,cpp,0.0818004114999999,0.9057759,11.052652,0.0023281925746985,0.1833460130714903,2.0332199346772866,10,0.0007362391367539,0.0579791001216913,0.6429605977638995,2.8461868736425457,20.24187363248352,amd,0.07409284134678276,13.496580530899315,0.08027858890489192,0.07226813540472261,0.009254615110981667,0.07627336215480726,22.0,2.0,2.0
integer_and_control_flow_intensive,towers_of_hanoi,go,0.4358193437,4.0633809,9.3239495,0.0025926948675582,0.2221225735801693,0.5155676301185478,10,0.0008198821059312,0.0702413252251676,0.1630367999029837,0.5949012830745266,5.466447252832469,amd,1.7708999970411154,0.5646846245811941,0.5231598139615673,0.40657415092943683,0.2268567756005781,0.46486698244550206,24.0,4.0,4.0
integer_and_control_flow_intensive,towers_of_hanoi,java,0.5425239871,3.7042533,6.8257267,0.0018832263422418,0.4857119022262406,0.874329019553731,10,0.0005955284591111,0.1535955897687928,0.2764871126171685,0.3471231479198518,13.112275616417502,amd,2.0096462695443327,0.4976000080983108,0.4727890831577892,0.5073371354154951,0.257474105643767,0.49006310928664215,25.0,5.0,5.0
integer_and_control_flow_intensive,towers_of_hanoi,rust,0.2666938678,2.1439183,8.0328308,0.0036420575818185,0.3947815044820644,1.4325042075875225,10,0.0011517197328031,0.1248408732271295,0.4529976053751228,1.3656322928841482,18.414018131290938,amd,0.5717698636742008,1.7489554163872623,0.25393869614015796,0.24686612734862887,0.07307777552201894,0.2504024117443934,23.0,3.0,3.0
